repo,git_link,commit
Auto1111SDK/Auto1111SDK,https://github.com/Auto1111SDK/Auto1111SDK,4f3cd1504d0afa344fd322df0c4ac3e9eec7a129
DepthAnything/Depth-Anything-V2,https://github.com/DepthAnything/Depth-Anything-V2,e5a2732d3ea2cddc081d7bfd708fc0bf09f812f1
FunAudioLLM/FunMusic,https://github.com/FunAudioLLM/FunMusic,0aefb55b58b8df91accdc4aed20c99e44741e0a7
FunAudioLLM/SenseVoice,https://github.com/FunAudioLLM/SenseVoice,1a90d46cb933ef9e213b7d90292b9301b3e20f40
GeeeekExplorer/nano-vllm,https://github.com/GeeeekExplorer/nano-vllm,2f214426530e2841e7d24c73ee0dfa914d62df56
HaozheLiu-ST/T-GATE,https://github.com/HaozheLiu-ST/T-GATE,ab2a88fa50319cbb0bfcdc2772405573b266fa13
InternLM/InternEvo,https://github.com/InternLM/InternEvo,a5b3972be7cc3448563b4ddfbb0cee736bdea7ef
KRLabsOrg/LettuceDetect,https://github.com/KRLabsOrg/LettuceDetect,b302fdb8568f257615d1c4a9d2d2ee69e11c5b72
LMCache/LMCache,https://github.com/LMCache/LMCache,de25f0f692089b750a4b8c416ab18f8c7c0e5b8e
LiheYoung/Depth-Anything,https://github.com/LiheYoung/Depth-Anything,1d03336771fe09c5398ffdd211441e33941a97dc
MoonshotAI/MoBA,https://github.com/MoonshotAI/MoBA,b5d58363311d3ca946f1ec444182727c15e338b5
NVIDIA/kvpress,https://github.com/NVIDIA/kvpress,ef2a1ca5f81bec64a382e5bb66d5a77d4af853f2
NVlabs/Sana,https://github.com/NVlabs/Sana,08c656c373ab58991452aa1e3fc912428f32ae9f
OpenBMB/VoxCPM,https://github.com/OpenBMB/VoxCPM,6ecc00a5d3b7efcb9179a66dcef393b04f39e2a6
RingBDStack/SocialED,https://github.com/RingBDStack/SocialED,660e9d84b114a4084a3972cc00b1451c11c87f67
SWivid/F5-TTS,https://github.com/SWivid/F5-TTS,27e20fcf39fbce3f187a61d4a3e92065d2d9b947
ZhengYinan-AIR/Diffusion-Planner,https://github.com/ZhengYinan-AIR/Diffusion-Planner,3558eaccee936f177ffbb3fb420540eccd8855e9
alephpi/Texo,https://github.com/alephpi/Texo,a462c537a9726545d2bcfb639c9f99224d1e36c2
apple/ml-aim,https://github.com/apple/ml-aim,bd9e06893f3ad68bda56b34ac2158fda2680b7fc
apple/ml-mdm,https://github.com/apple/ml-mdm,dfa4718be3e327d8f7b46a2ab9f6c1c28e2f3ce0
c2g-dev/city2graph,https://github.com/c2g-dev/city2graph,db9fcb91062fb8eff653ab52e8c7b60a4cd266bc
emidan19/deep-tempest,https://github.com/emidan19/deep-tempest,096081cc8efeee393561a753b7b5012d130c5757
facebookresearch/large_concept_model,https://github.com/facebookresearch/large_concept_model,fd7db8022113ae2d2ff1219d9a4cb4def897e3ff
facebookresearch/sapiens,https://github.com/facebookresearch/sapiens,08dce797f7b40f5b41388f518cac85535c3f5d13
feifeibear/long-context-attention,https://github.com/feifeibear/long-context-attention,a52d85007ced2065dd71c498be65a02d62b51cac
flagos-ai/FlagGems,https://github.com/flagos-ai/FlagGems,c5af8839c871a7f626d693476ba7f18d30ba04a4
hpcaitech/Open-Sora,https://github.com/hpcaitech/Open-Sora,d0cd5ac50da79e9a9d2285a952d4dcd806e6c8fc
huggingface/finetrainers,https://github.com/huggingface/finetrainers,f476c3717da6cbfb1070505a99ee989426b46d9c
hustvl/Vim,https://github.com/hustvl/Vim,dd0358ad1e42701f22afbefa0717cc8825cf9f45
kotaro-kinoshita/yomitoku,https://github.com/kotaro-kinoshita/yomitoku,f68b55702cf5712524ff4a7b4665ebde622132ca
kyegomez/MultiModalMamba,https://github.com/kyegomez/MultiModalMamba,58db40bcbd2e957c7981b6eed6de165b6a5ccd42
kyegomez/VisionMamba,https://github.com/kyegomez/VisionMamba,c88e09a52240910e08c4af754d340ad946112487
lightly-ai/lightly-train,https://github.com/lightly-ai/lightly-train,9716e64a7043c1a4857ece3b3436d831e9d97722
meta-pytorch/torchft,https://github.com/meta-pytorch/torchft,86c42910df9140bdfee68fbba29233c3cab84288
metavoiceio/metavoice-src,https://github.com/metavoiceio/metavoice-src,de3fa211ac4621e03a5f990651aeecc64da418f5
microsoft/renderformer,https://github.com/microsoft/renderformer,c51f87083d0eebb806803fe32a357b8d9aefb085
modelscope/ClearerVoice-Studio,https://github.com/modelscope/ClearerVoice-Studio,6b3774dc79c46ae8bed2a4fa5f706f0ac8c75c61
ogkalu2/comic-translate,https://github.com/ogkalu2/comic-translate,2a43edd0565bd07a391725d4e104ddb90cacae0d
remsky/Kokoro-FastAPI,https://github.com/remsky/Kokoro-FastAPI,3af45719940c915b53ad2a63f9cdb6f22680d276
rllm-team/rllm,https://github.com/rllm-team/rllm,0c0e4ec9b158318d72a09d810c060e0c9529c074
sgl-project/SpecForge,https://github.com/sgl-project/SpecForge,077f286269a7e10ca7b18f7a33e49e8c6cbeac4f
thu-pacman/chitu,https://github.com/thu-pacman/chitu,d2cc0f5a2bdc262e75cc45ee1c4cdf7778279dd0
vllm-project/vllm-omni,https://github.com/vllm-project/vllm-omni,8c1259383c0bdffe7e856b6809163d8385e657de
yuanze-lin/Olympus,https://github.com/yuanze-lin/Olympus,d49bffd878dcb96e7cd4d9312e0852b26e34eab8
